X,Y,id,type,name,floor,distance,angle
235.078062566335,409.988733672423,1,walk,"1",1,94,90
236.078062566335,409.988733672423,1,walk,"1",1,95,90
237.078062566335,409.988733672423,1,walk,"1",1,96,90
238.078062566335,409.988733672423,1,walk,"1",1,97,90
239.078062566335,409.988733672423,1,walk,"1",1,98,90
240.078062566335,409.988733672423,1,walk,"1",1,99,90
241.078062566335,409.988733672423,1,walk,"1",1,100,90
242.078062566335,409.988733672423,1,walk,"1",1,101,90
243.078062566335,409.988733672423,1,walk,"1",1,102,90
244.078062566335,409.988733672423,1,walk,"1",1,103,90
245.078062566335,409.988733672423,1,walk,"1",1,104,90
246.078062566335,409.988733672423,1,walk,"1",1,105,90
247.078062566335,409.988733672423,1,walk,"1",1,106,90
247.913740928329,409.989580668671,1,walk,"1",1,107,270.590657214647
246.913794064704,409.999889399224,1,walk,"1",1,108,270.590657214647
245.913847201078,410.010198129777,1,walk,"1",1,109,270.590657214647
244.913900337453,410.020506860329,1,walk,"1",1,110,270.590657214647
243.913953473827,410.030815590882,1,walk,"1",1,111,270.590657214647
242.914006610202,410.041124321435,1,walk,"1",1,112,270.590657214647
241.914059746576,410.051433051988,1,walk,"1",1,113,270.590657214647
240.914112882951,410.061741782541,1,walk,"1",1,114,270.590657214647
239.914166019326,410.072050513094,1,walk,"1",1,115,270.590657214647
238.9142191557,410.082359243646,1,walk,"1",1,116,270.590657214647
237.914272292075,410.092667974199,1,walk,"1",1,117,270.590657214647
236.914325428449,410.102976704752,1,walk,"1",1,118,270.590657214647
235.914378564824,410.113285435305,1,walk,"1",1,119,270.590657214647
234.914431701198,410.123594165858,1,walk,"1",1,120,270.590657214647
234.436208672969,410.653074679433,1,walk,"1",1,121,359.690296100041
234.430803346531,411.65306007055,1,walk,"1",1,122,359.690296100041
234.425398020092,412.653045461666,1,walk,"1",1,123,359.690296100041
234.419992693654,413.653030852782,1,walk,"1",1,124,359.690296100041
234.414587367215,414.653016243899,1,walk,"1",1,125,359.690296100041
234.409182040777,415.653001635015,1,walk,"1",1,126,359.690296100041
234.403776714339,416.652987026131,1,walk,"1",1,127,359.690296100041
234.3983713879,417.652972417248,1,walk,"1",1,128,359.690296100041
234.392966061462,418.652957808364,1,walk,"1",1,129,359.690296100041
234.387560735023,419.65294319948,1,walk,"1",1,130,359.690296100041
234.382155408585,420.652928590597,1,walk,"1",1,131,359.690296100041
234.376750082146,421.652913981713,1,walk,"1",1,132,359.690296100041
234.371344755708,422.652899372829,1,walk,"1",1,133,359.690296100041
234.365939429269,423.652884763946,1,walk,"1",1,134,359.690296100041
234.360534102831,424.652870155062,1,walk,"1",1,135,359.690296100041
234.355128776392,425.652855546179,1,walk,"1",1,136,359.690296100041
234.349723449954,426.652840937295,1,walk,"1",1,137,359.690296100041
234.344318123515,427.652826328411,1,walk,"1",1,138,359.690296100041
234.338912797077,428.652811719528,1,walk,"1",1,139,359.690296100041
234.333507470638,429.652797110644,1,walk,"1",1,140,359.690296100041
234.3281021442,430.65278250176,1,walk,"1",1,141,359.690296100041
234.322696817762,431.652767892877,1,walk,"1",1,142,359.690296100041
234.317291491323,432.652753283993,1,walk,"1",1,143,359.690296100041
234.311886164885,433.652738675109,1,walk,"1",1,144,359.690296100041
234.306480838446,434.652724066226,1,walk,"1",1,145,359.690296100041
234.301075512008,435.652709457342,1,walk,"1",1,146,359.690296100041
196.004660582336,416.138235057399,2,walk,"2",2,0,89.7916526291939
197.004653970832,416.141871396994,2,walk,"2",2,1,89.7916526291939
198.004647359327,416.145507736588,2,walk,"2",2,2,89.7916526291939
199.004640747822,416.149144076183,2,walk,"2",2,3,89.7916526291939
200.004634136317,416.152780415777,2,walk,"2",2,4,89.7916526291939
201.004627524813,416.156416755372,2,walk,"2",2,5,89.7916526291939
202.004620913308,416.160053094966,2,walk,"2",2,6,89.7916526291939
203.004614301803,416.163689434561,2,walk,"2",2,7,89.7916526291939
204.004607690299,416.167325774155,2,walk,"2",2,8,89.7916526291939
205.004601078794,416.17096211375,2,walk,"2",2,9,89.7916526291939
206.004594467289,416.174598453344,2,walk,"2",2,10,89.7916526291939
207.004587855785,416.178234792939,2,walk,"2",2,11,89.7916526291939
208.00458124428,416.181871132533,2,walk,"2",2,12,89.7916526291939
209.004574632775,416.185507472128,2,walk,"2",2,13,89.7916526291939
210.004568021271,416.189143811722,2,walk,"2",2,14,89.7916526291939
